,rank_y_test,y_test,rank_preds,preds
12328,0,100.0,0,93.46235
5132,1,99.66666666666669,196,88.44236
6305,2,99.66666666666669,438,85.84178
8883,3,99.66666666666669,90,90.20518
258,4,99.66666666666669,101,90.12629
8479,5,99.66666666666669,107,90.12629
10626,6,99.33333333333331,31,90.64682
11423,7,99.33333333333331,441,85.84178
7333,8,99.33333333333331,24,93.46235
11986,9,99.33333333333331,23,93.46235
12238,10,99.33333333333331,43,90.327934
7946,11,99.33333333333331,73,90.26606
11447,12,99.33333333333331,84,90.26606
2117,13,99.33333333333331,102,90.12629
6287,14,99.0,78,90.26606
1148,15,99.0,106,90.12629
2365,16,99.0,242,88.42003
11188,17,99.0,141,89.186806
2825,18,99.0,143,89.186806
3987,19,99.0,453,85.84178
112,20,99.0,248,88.42003
11320,21,99.0,616,82.63668
2079,22,99.0,96,90.12629
4303,23,98.66666666666669,134,89.330086
5129,24,98.66666666666669,8,93.46235
4445,25,98.66666666666669,649,82.206276
11239,26,98.66666666666669,89,90.20518
104,27,98.33333333333331,240,88.42003
11791,28,98.33333333333331,230,88.42003
7342,29,98.33333333333331,4,93.46235
3794,30,98.33333333333331,277,86.54498
6236,31,98.33333333333331,3,93.46235
1153,32,98.33333333333331,284,86.54498
1280,33,98.33333333333331,4075,23.27374
7012,34,98.33333333333331,191,88.44236
9574,35,98.33333333333331,494,82.78222
2068,36,98.33333333333331,2,93.46235
4492,37,98.33333333333331,315,86.49682
5156,38,98.33333333333331,57,90.327934
7996,39,98.33333333333331,809,80.43392
2131,40,98.33333333333331,72,90.26606
9496,41,98.0,416,85.84178
11867,42,98.0,125,89.330086
11205,43,98.0,184,88.44236
11132,44,98.0,425,85.84178
12240,45,98.0,433,85.84178
7494,46,98.0,1305,73.317795
11171,47,98.0,210,88.42003
637,48,98.0,56,90.327934
2607,49,98.0,5,93.46235
11162,50,98.0,201,88.42003
7393,51,98.0,422,85.84178
7235,52,98.0,76,90.26606
2003,53,97.66666666666669,309,86.49682
11218,54,97.66666666666669,298,86.54498
121,55,97.66666666666669,437,85.84178
4433,56,97.66666666666669,745,80.59065
11185,57,97.66666666666669,1284,73.317795
2635,58,97.66666666666669,595,82.63668
6880,59,97.66666666666669,15,93.46235
8905,60,97.66666666666669,19,93.46235
1179,61,97.66666666666669,594,82.63668
11714,62,97.66666666666669,13,93.46235
5248,63,97.66666666666669,11,93.46235
11158,64,97.66666666666669,83,90.26606
1239,65,97.66666666666669,81,90.26606
10647,66,97.66666666666669,434,85.84178
7510,67,97.66666666666669,26,93.3149
8984,68,97.33333333333331,148,89.186806
11190,69,97.33333333333331,447,85.84178
4493,70,97.33333333333331,123,89.330086
5336,71,97.33333333333331,149,89.186806
11287,72,97.33333333333331,313,86.49682
6769,73,97.33333333333331,68,90.26606
11399,74,97.33333333333331,44,90.327934
5376,75,97.33333333333331,14,93.46235
6730,76,97.33333333333331,452,85.84178
4452,77,97.33333333333331,642,82.63668
3305,78,97.33333333333331,261,86.54498
2730,79,97.33333333333331,120,89.330086
4400,80,97.33333333333331,611,82.63668
11475,81,97.33333333333331,604,82.63668
6040,82,97.33333333333331,203,88.42003
3379,83,97.33333333333331,849,80.43392
12375,84,97.33333333333331,3995,27.547102
32,85,97.0,305,86.49682
6179,86,97.0,55,90.327934
10387,87,97.0,185,88.44236
90,88,97.0,35,90.53805
6334,89,97.0,1159,75.871025
10137,90,97.0,29,93.3149
11692,91,97.0,34,90.53805
5250,92,97.0,311,86.49682
6489,93,97.0,63,90.26606
9736,94,97.0,126,89.330086
5139,95,97.0,476,82.78222
11406,96,96.66666666666669,657,82.206276
11589,97,96.66666666666669,47,90.327934
4416,98,96.66666666666669,684,81.264694
11433,99,96.66666666666669,451,85.84178
5438,100,96.66666666666669,532,82.63668
11535,101,96.66666666666669,268,86.54498
11363,102,96.66666666666669,260,86.54498
9069,103,96.66666666666669,916,80.072296
1213,104,96.66666666666669,152,89.186806
2262,105,96.66666666666669,66,90.26606
4304,106,96.66666666666669,443,85.84178
5063,107,96.66666666666669,526,82.63668
5954,108,96.66666666666669,156,89.186806
6764,109,96.66666666666669,448,85.84178
11147,110,96.33333333333331,541,82.63668
2658,111,96.33333333333331,1028,78.76075
4062,112,96.33333333333331,330,86.49682
6704,113,96.33333333333331,112,89.330086
1984,114,96.33333333333331,1693,68.158806
11800,115,96.33333333333331,16,93.46235
11916,116,96.33333333333331,917,80.072296
11257,117,96.33333333333331,146,89.186806
7088,118,96.33333333333331,222,88.42003
11191,119,96.33333333333331,455,85.84178
4900,120,96.33333333333331,17,93.46235
7126,121,96.33333333333331,18,93.46235
5126,122,96.33333333333331,454,85.84178
2058,123,96.33333333333331,538,82.63668
11161,124,96.33333333333331,138,89.330086
10178,125,96.0,213,88.42003
4466,126,96.0,656,82.206276
11274,127,96.0,417,85.84178
1019,128,96.0,1366,71.847435
11210,129,96.0,115,89.330086
12327,130,96.0,323,86.49682
6865,131,96.0,187,88.44236
7131,132,96.0,1105,76.1609
8169,133,96.0,60,90.26606
5660,134,96.0,214,88.42003
7439,135,96.0,680,81.264694
7460,136,96.0,228,88.42003
7117,137,96.0,227,88.42003
5104,138,96.0,504,82.63668
10558,139,96.0,64,90.26606
7665,140,96.0,511,82.63668
3162,141,95.66666666666669,423,85.84178
5521,142,95.66666666666669,415,85.84178
11912,143,95.66666666666669,900,80.43392
7009,144,95.66666666666669,486,82.78222
5926,145,95.66666666666669,39,90.327934
4348,146,95.66666666666669,103,90.12629
5506,147,95.66666666666669,98,90.12629
10093,148,95.66666666666669,255,88.42003
698,149,95.66666666666669,575,82.63668
4616,150,95.66666666666669,489,82.78222
8919,151,95.66666666666669,488,82.78222
5869,152,95.66666666666669,411,85.84178
9770,153,95.66666666666669,464,85.33131
9864,154,95.66666666666669,1297,73.317795
11816,155,95.66666666666669,507,82.63668
8714,156,95.33333333333331,961,78.78459
4401,157,95.33333333333331,583,82.63668
8474,158,95.33333333333331,87,90.26606
11203,159,95.33333333333331,578,82.63668
2677,160,95.33333333333331,577,82.63668
6962,161,95.33333333333331,493,82.78222
10054,162,95.33333333333331,192,88.44236
2375,163,95.33333333333331,1400,71.847435
44,164,95.33333333333331,892,80.43392
8160,165,95.33333333333331,328,86.49682
5868,166,95.33333333333331,256,86.54498
10648,167,95.33333333333331,410,85.84178
5661,168,95.33333333333331,241,88.42003
