,GENDER,STRATUM,CR_S11,CC_S11,ENG_S11,CR_PRO,CC_PRO,ENG_PRO,COL_GRADE_AVG,HI_GRADE_AVG,GENDER_bin
0,F,Stratum 4,81,61,82,93,71,93,85.66666666666667,74.66666666666667,1
1,F,Stratum 5,75,66,88,38,86,98,74.0,76.33333333333333,1
2,M,Stratum 2,49,38,42,1,18,43,20.666666666666668,43.0,0
3,F,Stratum 2,55,51,73,35,76,80,63.666666666666664,59.666666666666664,1
4,M,Stratum 4,65,76,92,94,98,100,97.33333333333333,77.66666666666667,0
5,F,Stratum 6,60,57,82,15,32,97,48.0,66.33333333333333,1
6,M,Stratum 5,75,61,85,8,50,92,50.0,73.66666666666667,0
7,F,Stratum 6,67,61,96,86,94,97,92.33333333333333,74.66666666666667,1
8,M,Stratum 2,54,61,46,57,43,3,34.333333333333336,53.666666666666664,0
9,M,Stratum 2,55,51,65,41,22,83,48.666666666666664,57.0,0
10,F,Stratum 3,71,61,96,83,93,100,92.0,76.0,1
11,M,Stratum 2,47,49,43,19,79,10,36.0,46.333333333333336,0
12,F,Stratum 3,62,61,50,45,74,56,58.333333333333336,57.666666666666664,1
13,M,Stratum 6,71,64,82,82,80,97,86.33333333333333,72.33333333333333,0
14,F,Stratum 1,45,59,44,61,81,36,59.333333333333336,49.333333333333336,1
15,F,Stratum 3,58,59,59,64,77,74,71.66666666666667,58.666666666666664,1
16,M,Stratum 3,67,72,68,69,72,89,76.66666666666667,69.0,0
17,M,Stratum 3,64,61,88,76,100,94,90.0,71.0,0
18,M,Stratum 2,49,45,44,8,12,19,13.0,46.0,0
19,M,Stratum 3,44,53,53,86,52,74,70.66666666666667,50.0,0
20,M,Stratum 3,53,51,58,64,54,89,69.0,54.0,0
21,M,Stratum 2,47,56,57,39,49,60,49.333333333333336,53.333333333333336,0
22,M,Stratum 4,47,36,64,25,37,65,42.333333333333336,49.0,0
23,M,Stratum 2,65,50,82,81,22,88,63.666666666666664,65.66666666666667,0
24,M,Stratum 3,71,68,75,99,93,92,94.66666666666667,71.33333333333333,0
25,M,Stratum 3,75,65,71,92,91,97,93.33333333333333,70.33333333333333,0
26,M,Stratum 3,56,49,70,28,15,84,42.333333333333336,58.333333333333336,0
27,M,Stratum 6,71,63,92,59,74,97,76.66666666666667,75.33333333333333,0
28,F,Stratum 4,56,43,54,47,36,61,48.0,51.0,1
29,F,Stratum 3,44,47,48,61,76,75,70.66666666666667,46.333333333333336,1
30,M,Stratum 4,52,56,53,62,40,28,43.333333333333336,53.666666666666664,0
31,M,Stratum 3,62,56,43,100,78,74,84.0,53.666666666666664,0
32,M,Stratum 4,62,76,92,92,99,100,97.0,76.66666666666667,0
33,M,Stratum 4,53,57,62,82,80,81,81.0,57.333333333333336,0
34,M,Stratum 4,60,45,75,15,5,89,36.333333333333336,60.0,0
35,M,Stratum 5,71,66,76,88,79,98,88.33333333333333,71.0,0
36,M,Stratum 5,60,61,54,84,78,82,81.33333333333333,58.333333333333336,0
37,M,Stratum 3,71,74,78,98,79,95,90.66666666666667,74.33333333333333,0
38,F,Stratum 5,56,59,54,9,53,62,41.333333333333336,56.333333333333336,1
39,M,Stratum 5,62,61,82,61,89,97,82.33333333333333,68.33333333333333,0
40,F,Stratum 4,60,61,62,79,89,88,85.33333333333333,61.0,1
41,F,Stratum 4,58,52,75,77,45,74,65.33333333333333,61.666666666666664,1
42,F,Stratum 3,54,56,40,67,50,65,60.666666666666664,50.0,1
43,M,Stratum 2,67,56,64,93,87,92,90.66666666666667,62.333333333333336,0
44,M,Stratum 2,62,66,82,96,95,95,95.33333333333333,70.0,0
45,M,Stratum 4,62,71,88,93,100,97,96.66666666666667,73.66666666666667,0
46,M,Stratum 4,75,68,85,19,5,96,40.0,76.0,0
47,F,Stratum 5,60,59,80,71,90,88,83.0,66.33333333333333,1
48,M,Stratum 4,36,41,40,7,56,22,28.333333333333332,39.0,0
49,M,Stratum 3,62,59,54,55,78,59,64.0,58.333333333333336,0
50,F,Stratum 6,51,39,55,5,15,73,31.0,48.333333333333336,1
51,M,Stratum 5,60,76,92,90,86,100,92.0,76.0,0
52,M,Stratum 5,81,56,78,95,9,72,58.666666666666664,71.66666666666667,0
53,F,Stratum 3,51,45,55,71,92,69,77.33333333333333,50.333333333333336,1
54,M,Stratum 3,49,42,40,29,65,51,48.333333333333336,43.666666666666664,0
55,M,Stratum 3,63,58,50,77,27,68,57.333333333333336,57.0,0
56,F,Stratum 2,62,57,64,78,82,47,69.0,61.0,1
57,M,Stratum 6,65,61,78,87,87,95,89.66666666666667,68.0,0
58,F,Stratum 5,60,59,70,85,63,65,71.0,63.0,1
59,M,Stratum 2,75,61,96,97,96,100,97.66666666666667,77.33333333333333,0
60,M,Stratum 3,67,78,62,96,100,49,81.66666666666667,69.0,0
61,M,Stratum 3,60,61,59,79,73,91,81.0,60.0,0
62,M,Stratum 5,47,29,54,48,41,66,51.666666666666664,43.333333333333336,0
63,M,Stratum 5,81,61,82,85,84,98,89.0,74.66666666666667,0
64,M,Stratum 3,60,65,75,89,87,90,88.66666666666667,66.66666666666667,0
65,M,Stratum 5,62,56,73,29,26,90,48.333333333333336,63.666666666666664,0
66,M,Stratum 2,62,68,46,97,64,77,79.33333333333333,58.666666666666664,0
