,GENDER,STRATUM,CR_S11,CC_S11,ENG_S11,CR_PRO,CC_PRO,ENG_PRO,COL_GRADE_AVG_org,HI_GRADE_AVG_org,GENDER_bin,COL_GRADE_AVG,HI_GRADE_AVG
0,F,Stratum 4,81,61,82,93,71,93,85.66666666666667,74.66666666666667,1,0.995599390607161,1.371666476693963
1,F,Stratum 5,75,66,88,38,86,98,74.0,76.33333333333333,1,0.48402776820581234,1.5401124121469736
2,M,Stratum 2,49,38,42,1,18,43,20.666666666666668,43.0,0,-1.8545853627717808,-1.8288062969132588
3,F,Stratum 2,55,51,73,35,76,80,63.666666666666664,59.666666666666664,1,0.030921474078903572,-0.14434694238314258
4,M,Stratum 4,65,76,92,94,98,100,97.33333333333333,77.66666666666667,0,1.507171013008509,1.674869160509384
5,F,Stratum 6,60,57,82,15,32,97,48.0,66.33333333333333,1,-0.6560461331457642,0.5294367994289038
6,M,Stratum 5,75,61,85,8,50,92,50.0,73.66666666666667,0,-0.5683481407341046,1.270598915422156
7,F,Stratum 6,67,61,96,86,94,97,92.33333333333333,74.66666666666667,1,1.2879260319793597,1.371666476693963
8,M,Stratum 2,54,61,46,57,43,3,34.333333333333336,53.666666666666664,0,-1.2553157479587724,-0.7507523100139845
9,M,Stratum 2,55,51,65,41,22,83,48.666666666666664,57.0,0,-0.6268134690085444,-0.413860439107961
10,F,Stratum 3,71,61,96,83,93,100,92.0,76.0,1,1.2733096999107498,1.5064232250563718
11,M,Stratum 2,47,49,43,19,79,10,36.0,46.333333333333336,0,-1.1822340876157227,-1.4919144260072352
12,F,Stratum 3,62,61,50,45,74,56,58.333333333333336,57.666666666666664,1,-0.2029398390188555,-0.34648206492675654
13,M,Stratum 6,71,64,82,82,80,97,86.33333333333333,72.33333333333333,0,1.0248320547443805,1.1358421670597456
14,F,Stratum 1,45,59,44,61,81,36,59.333333333333336,49.333333333333336,1,-0.15909084281302566,-1.1887117421918143
15,F,Stratum 3,58,59,59,64,77,74,71.66666666666667,58.666666666666664,1,0.38171344372554283,-0.24541450365494957
16,M,Stratum 3,67,72,68,69,72,89,76.66666666666667,69.0,0,0.6009584247546922,0.7989502961537228
17,M,Stratum 3,64,61,88,76,100,94,90.0,71.0,0,1.1856117074990902,1.0010854186973368
18,M,Stratum 2,49,45,44,8,12,19,13.0,46.0,0,-2.1907610003498097,-1.5256036130978379
19,M,Stratum 3,44,53,53,86,52,74,70.66666666666667,50.0,0,0.33786444751971295,-1.12133336801061
20,M,Stratum 3,53,51,58,64,54,89,69.0,54.0,0,0.264782787176663,-0.7170631229233819
21,M,Stratum 2,47,56,57,39,49,60,49.333333333333336,53.333333333333336,0,-0.5975808048713244,-0.7844414971045863
22,M,Stratum 4,47,36,64,25,37,65,42.333333333333336,49.0,0,-0.9045237783121334,-1.222400929282417
23,M,Stratum 2,65,50,82,81,22,88,63.666666666666664,65.66666666666667,0,0.030921474078903572,0.4620584252477
24,M,Stratum 3,71,68,75,99,93,92,94.66666666666667,71.33333333333333,0,1.3902403564596297,1.0347746057879386
25,M,Stratum 3,75,65,71,92,91,97,93.33333333333333,70.33333333333333,0,1.3317750281851894,0.9337070445161317
26,M,Stratum 3,56,49,70,28,15,84,42.333333333333336,58.333333333333336,0,-0.9045237783121334,-0.2791036907455514
27,M,Stratum 6,71,63,92,59,74,97,76.66666666666667,75.33333333333333,0,0.6009584247546922,1.4390448508751665
28,F,Stratum 4,56,43,54,47,36,61,48.0,51.0,1,-0.6560461331457642,-1.0202658067388028
29,F,Stratum 3,44,47,48,61,76,75,70.66666666666667,46.333333333333336,1,0.33786444751971295,-1.4919144260072352
30,M,Stratum 4,52,56,53,62,40,28,43.333333333333336,53.666666666666664,0,-0.8606747821063035,-0.7507523100139845
31,M,Stratum 3,62,56,43,100,78,74,84.0,53.666666666666664,0,0.922517730264111,-0.7507523100139845
32,M,Stratum 4,62,76,92,92,99,100,97.0,76.66666666666667,0,1.4925546809398993,1.573801599237577
33,M,Stratum 4,53,57,62,82,80,81,81.0,57.333333333333336,0,0.7909707416466214,-0.3801712520173584
34,M,Stratum 4,60,45,75,15,5,89,36.333333333333336,60.0,0,-1.1676177555471126,-0.11065775529254003
35,M,Stratum 5,71,66,76,88,79,98,88.33333333333333,71.0,0,1.1125300471560402,1.0010854186973368
36,M,Stratum 5,60,61,54,84,78,82,81.33333333333333,58.333333333333336,0,0.8055870737152311,-0.2791036907455514
37,M,Stratum 3,71,74,78,98,79,95,90.66666666666667,74.33333333333333,0,1.2148443716363104,1.3379772896033597
38,F,Stratum 5,56,59,54,9,53,62,41.333333333333336,56.333333333333336,1,-0.9483727745179633,-0.4812388132891654
39,M,Stratum 5,62,61,82,61,89,97,82.33333333333333,68.33333333333333,0,0.849436069921061,0.7315719219725177
40,F,Stratum 4,60,61,62,79,89,88,85.33333333333333,61.0,1,0.9809830585385506,-0.009590194020733038
41,F,Stratum 4,58,52,75,77,45,74,65.33333333333333,61.666666666666664,1,0.10400313442195325,0.05778818016047138
42,F,Stratum 3,54,56,40,67,50,65,60.666666666666664,50.0,1,-0.10062551453858604,-1.12133336801061
43,M,Stratum 2,67,56,64,93,87,92,90.66666666666667,62.333333333333336,0,1.2148443716363104,0.1251665543416765
44,M,Stratum 2,62,66,82,96,95,95,95.33333333333333,70.0,0,1.4194730205968493,0.9000178574255299
45,M,Stratum 4,62,71,88,93,100,97,96.66666666666667,73.66666666666667,0,1.4779383488712896,1.270598915422156
46,M,Stratum 4,75,68,85,19,5,96,40.0,76.0,0,-1.0068381027924032,1.5064232250563718
47,F,Stratum 5,60,59,80,71,90,88,83.0,66.33333333333333,1,0.8786687340582812,0.5294367994289038
48,M,Stratum 4,36,41,40,7,56,22,28.333333333333332,39.0,0,-1.5184097251937516,-2.2330765420004868
49,M,Stratum 3,62,59,54,55,78,59,64.0,58.333333333333336,0,0.04553780614751363,-0.2791036907455514
50,F,Stratum 6,51,39,55,5,15,73,31.0,48.333333333333336,1,-1.401479068644872,-1.2897793034636214
51,M,Stratum 5,60,76,92,90,86,100,92.0,76.0,0,1.2733096999107498,1.5064232250563718
52,M,Stratum 5,81,56,78,95,9,72,58.666666666666664,71.66666666666667,0,-0.18832350695024577,1.0684637928785419
53,F,Stratum 3,51,45,55,71,92,69,77.33333333333333,50.333333333333336,1,0.6301910888919117,-1.0876441809200073
54,M,Stratum 3,49,42,40,29,65,51,48.333333333333336,43.666666666666664,0,-0.6414298010771542,-1.7614279227320544
55,M,Stratum 3,63,58,50,77,27,68,57.333333333333336,57.0,0,-0.2467888352246854,-0.413860439107961
56,F,Stratum 2,62,57,64,78,82,47,69.0,61.0,1,0.264782787176663,-0.009590194020733038
57,M,Stratum 6,65,61,78,87,87,95,89.66666666666667,68.0,0,1.1709953754304805,0.6978827348819159
58,F,Stratum 5,60,59,70,85,63,65,71.0,63.0,1,0.3524807795883227,0.19254492852288094
59,M,Stratum 2,75,61,96,97,96,100,97.66666666666667,77.33333333333333,0,1.5217873450771193,1.6411799734187806
60,M,Stratum 3,67,78,62,96,100,49,81.66666666666667,69.0,0,0.8202034057838415,0.7989502961537228
61,M,Stratum 3,60,61,59,79,73,91,81.0,60.0,0,0.7909707416466214,-0.11065775529254003
62,M,Stratum 5,47,29,54,48,41,66,51.666666666666664,43.333333333333336,0,-0.49526648039105486,-1.7951171098226562
63,M,Stratum 5,81,61,82,85,84,98,89.0,74.66666666666667,0,1.1417627112932602,1.371666476693963
64,M,Stratum 3,60,65,75,89,87,90,88.66666666666667,66.66666666666667,0,1.1271463792246506,0.5631259865195071
65,M,Stratum 5,62,56,73,29,26,90,48.333333333333336,63.666666666666664,0,-0.6414298010771542,0.25992330270408537
66,M,Stratum 2,62,68,46,97,64,77,79.33333333333333,58.666666666666664,0,0.7178890813035714,-0.24541450365494957
67,M,Stratum 3,51,51,53,80,69,68,72.33333333333333,51.666666666666664,0,0.4109461078627623,-0.9528874325575984
68,M,Stratum 3,67,68,75,75,78,85,79.33333333333333,70.0,0,0.7178890813035714,0.9000178574255299
69,M,Stratum 4,58,59,78,53,3,86,47.333333333333336,65.0,0,-0.685278797282984,0.3946800510664949
70,F,Stratum 2,81,68,73,59,80,77,72.0,74.0,1,0.3963297757941526,1.3042881025127577
71,F,Stratum 4,58,56,49,13,77,85,58.333333333333336,54.333333333333336,1,-0.2029398390188555,-0.6833739358327794
72,M,Stratum 4,75,68,71,81,99,97,92.33333333333333,71.33333333333333,0,1.2879260319793597,1.0347746057879386
73,F,Stratum 2,55,59,55,93,86,50,76.33333333333333,56.333333333333336,1,0.5863420926860818,-0.4812388132891654
