,HI_GRADE_AVG,GENDER_bin,STRATUM_0,STRATUM_Stratum_1,STRATUM_Stratum_2,STRATUM_Stratum_3,STRATUM_Stratum_4,STRATUM_Stratum_5,STRATUM_Stratum_6
2988,49.333333333333336,0,0,1,0,0,0,0,0
5916,59.66666666666666,1,0,0,0,1,0,0,0
3435,59.333333333333336,0,0,0,1,0,0,0,0
6269,85.66666666666667,0,0,1,0,0,0,0,0
3964,43.66666666666666,1,0,0,1,0,0,0,0
2494,54.0,0,0,0,0,1,0,0,0
47,66.33333333333333,1,0,0,0,0,0,1,0
7013,57.66666666666666,0,0,0,1,0,0,0,0
2152,63.0,0,0,0,1,0,0,0,0
8017,52.66666666666666,0,0,0,1,0,0,0,0
2530,67.33333333333333,0,0,0,0,1,0,0,0
10679,71.0,0,0,0,0,0,0,0,1
5617,64.66666666666667,0,0,0,1,0,0,0,0
1950,51.0,0,0,0,1,0,0,0,0
597,62.0,1,0,0,1,0,0,0,0
4233,67.33333333333333,1,0,0,1,0,0,0,0
11827,59.333333333333336,0,0,1,0,0,0,0,0
8310,77.0,1,0,0,0,1,0,0,0
2527,57.66666666666666,0,0,0,0,0,1,0,0
1217,71.33333333333333,0,0,0,1,0,0,0,0
2483,58.0,1,0,0,0,0,1,0,0
1689,72.0,0,0,0,0,1,0,0,0
2169,66.66666666666667,0,0,0,0,0,1,0,0
8583,69.66666666666667,1,0,0,1,0,0,0,0
1242,71.0,0,0,0,0,0,0,0,1
9890,60.0,0,0,0,0,0,1,0,0
7112,55.333333333333336,0,0,0,1,0,0,0,0
6521,63.66666666666666,0,0,1,0,0,0,0,0
10765,51.333333333333336,0,0,0,0,1,0,0,0
860,40.66666666666666,0,0,0,1,0,0,0,0
12034,62.333333333333336,1,0,0,0,0,1,0,0
4057,44.333333333333336,0,0,0,0,0,1,0,0
11298,74.0,1,0,0,0,0,1,0,0
9207,55.0,0,0,1,0,0,0,0,0
12163,71.66666666666667,0,0,0,0,1,0,0,0
10311,74.66666666666667,0,0,0,0,0,1,0,0
6400,51.66666666666666,1,0,0,1,0,0,0,0
2815,57.0,1,0,0,1,0,0,0,0
1886,60.0,1,0,1,0,0,0,0,0
4792,60.0,0,0,0,1,0,0,0,0
10225,63.333333333333336,0,0,0,0,1,0,0,0
7970,52.333333333333336,1,0,0,1,0,0,0,0
9140,49.333333333333336,0,0,0,1,0,0,0,0
12165,79.0,0,0,0,0,1,0,0,0
84,47.0,0,0,0,0,0,1,0,0
12207,79.33333333333333,0,0,0,0,0,0,1,0
7576,66.0,1,0,0,0,1,0,0,0
9404,66.66666666666667,1,0,0,0,0,1,0,0
249,56.333333333333336,1,0,0,0,1,0,0,0
10544,63.0,1,0,0,0,1,0,0,0
1205,55.0,1,0,0,0,1,0,0,0
664,54.0,0,0,0,0,1,0,0,0
5800,61.333333333333336,0,0,0,1,0,0,0,0
2415,70.33333333333333,1,0,0,0,1,0,0,0
12283,72.0,0,0,0,0,1,0,0,0
368,46.0,1,0,1,0,0,0,0,0
2886,60.66666666666666,0,0,0,0,1,0,0,0
11333,82.33333333333333,0,0,0,0,0,1,0,0
3914,60.66666666666666,1,0,0,1,0,0,0,0
7533,42.66666666666666,0,0,1,0,0,0,0,0
58,63.0,1,0,0,0,0,0,1,0
10213,61.66666666666666,0,0,0,0,1,0,0,0
5437,53.66666666666666,1,0,1,0,0,0,0,0
3845,60.333333333333336,0,0,0,0,1,0,0,0
10350,62.333333333333336,1,0,0,0,1,0,0,0
5392,49.66666666666666,0,0,0,0,1,0,0,0
4356,78.0,1,0,0,0,0,1,0,0
10414,59.333333333333336,0,0,1,0,0,0,0,0
2328,55.333333333333336,0,0,0,0,1,0,0,0
7086,39.66666666666666,0,0,0,1,0,0,0,0
3084,59.333333333333336,0,0,0,0,1,0,0,0
6455,75.33333333333333,0,0,0,1,0,0,0,0
5742,73.0,0,0,0,1,0,0,0,0
5452,49.66666666666666,0,0,1,0,0,0,0,0
5657,84.66666666666667,1,0,0,0,0,0,1,0
9149,62.0,0,0,0,0,1,0,0,0
1119,65.0,0,0,0,1,0,0,0,0
2035,49.333333333333336,0,0,0,1,0,0,0,0
7874,52.66666666666666,0,0,1,0,0,0,0,0
7199,51.0,0,0,0,1,0,0,0,0
4310,55.0,0,0,0,1,0,0,0,0
7078,57.0,0,0,0,0,0,1,0,0
2961,43.0,0,0,0,0,1,0,0,0
8077,64.33333333333333,0,0,0,1,0,0,0,0
9181,56.66666666666666,1,0,0,0,0,1,0,0
4246,57.0,1,0,0,1,0,0,0,0
8918,47.333333333333336,0,0,0,1,0,0,0,0
5931,53.66666666666666,1,0,0,0,1,0,0,0
6916,55.0,0,0,0,0,1,0,0,0
9919,50.333333333333336,1,0,1,0,0,0,0,0
230,72.66666666666667,1,0,0,0,0,0,1,0
9930,65.33333333333333,1,0,0,0,0,1,0,0
2621,65.66666666666667,1,0,0,0,1,0,0,0
10484,44.66666666666666,1,0,0,1,0,0,0,0
3572,59.333333333333336,1,0,0,0,1,0,0,0
10215,39.0,0,0,1,0,0,0,0,0
7255,71.66666666666667,0,0,0,0,1,0,0,0
12374,67.0,0,0,0,1,0,0,0,0
924,53.333333333333336,0,0,0,1,0,0,0,0
6148,74.33333333333333,0,0,0,1,0,0,0,0
7594,64.33333333333333,0,0,0,1,0,0,0,0
4998,56.333333333333336,0,0,0,0,0,1,0,0
2289,63.0,1,0,0,0,1,0,0,0
817,60.333333333333336,0,0,0,0,1,0,0,0
7180,57.333333333333336,0,0,0,0,1,0,0,0
2033,54.66666666666666,1,0,0,0,1,0,0,0
10301,50.66666666666666,0,0,1,0,0,0,0,0
9530,57.333333333333336,0,0,1,0,0,0,0,0
12363,52.0,0,0,0,0,1,0,0,0
7626,55.0,1,0,1,0,0,0,0,0
9928,80.0,0,0,0,0,1,0,0,0
8795,62.66666666666666,1,0,0,1,0,0,0,0
7543,55.66666666666666,0,0,0,0,1,0,0,0
9865,53.66666666666666,0,0,0,1,0,0,0,0
3948,57.0,0,0,1,0,0,0,0,0
5274,52.66666666666666,1,0,0,0,1,0,0,0
5990,80.0,0,0,0,0,0,1,0,0
11262,72.33333333333333,0,0,0,0,0,0,0,1
2507,64.66666666666667,0,0,0,0,1,0,0,0
5592,77.33333333333333,1,0,0,0,0,1,0,0
9414,52.66666666666666,0,0,0,0,1,0,0,0
2930,59.333333333333336,1,0,0,0,1,0,0,0
2445,55.0,1,0,0,0,1,0,0,0
5241,58.333333333333336,1,0,0,0,0,0,1,0
7535,56.0,1,0,0,1,0,0,0,0
6091,69.66666666666667,0,0,0,1,0,0,0,0
6463,57.333333333333336,1,0,0,0,1,0,0,0
1774,84.66666666666667,0,0,0,0,0,1,0,0
5032,61.0,1,0,0,0,1,0,0,0
7732,54.0,0,0,0,1,0,0,0,0
1522,62.0,0,0,0,1,0,0,0,0
9630,46.66666666666666,0,0,1,0,0,0,0,0
11783,65.0,1,0,0,1,0,0,0,0
9493,57.66666666666666,0,0,0,0,1,0,0,0
5009,54.0,1,0,0,0,0,1,0,0
4161,69.33333333333333,1,0,1,0,0,0,0,0
6197,57.0,0,0,0,1,0,0,0,0
7786,70.33333333333333,0,0,0,0,1,0,0,0
6118,55.0,0,0,0,0,1,0,0,0
27,75.33333333333333,0,0,0,0,0,0,0,1
10815,67.0,0,0,0,0,1,0,0,0
8904,85.33333333333333,1,0,0,0,0,1,0,0
2333,64.33333333333333,0,0,0,1,0,0,0,0
11690,73.0,0,0,0,1,0,0,0,0
1446,68.66666666666667,0,0,0,0,0,1,0,0
8634,61.333333333333336,1,0,0,1,0,0,0,0
5922,52.333333333333336,1,0,0,1,0,0,0,0
1665,59.66666666666666,0,0,0,1,0,0,0,0
402,58.66666666666666,0,0,0,1,0,0,0,0
7986,81.0,1,0,0,0,1,0,0,0
6102,58.66666666666666,1,0,0,1,0,0,0,0
2882,51.0,1,0,0,1,0,0,0,0
4462,72.66666666666667,0,0,0,0,0,0,1,0
11743,76.33333333333333,0,0,0,0,0,1,0,0
9986,51.66666666666666,1,0,0,0,0,1,0,0
1169,69.66666666666667,0,0,0,0,1,0,0,0
9619,55.66666666666666,0,0,0,0,1,0,0,0
11106,47.0,0,0,0,0,1,0,0,0
2254,55.66666666666666,1,0,0,1,0,0,0,0
12184,60.333333333333336,1,0,1,0,0,0,0,0
7172,62.333333333333336,0,0,0,0,1,0,0,0
11092,79.0,0,0,0,0,1,0,0,0
3777,52.333333333333336,0,0,0,1,0,0,0,0
6215,84.66666666666667,0,0,0,0,1,0,0,0
5803,51.0,0,0,0,1,0,0,0,0
9203,70.0,0,0,0,0,0,0,0,1
8990,67.66666666666667,0,0,0,0,1,0,0,0
10974,52.333333333333336,1,0,0,0,1,0,0,0
12050,62.333333333333336,0,0,0,0,1,0,0,0
7159,48.66666666666666,0,0,0,0,0,1,0,0
3726,58.333333333333336,0,0,0,0,1,0,0,0
10449,50.66666666666666,0,0,1,0,0,0,0,0
2501,71.33333333333333,0,0,0,0,1,0,0,0
7977,50.0,1,0,0,1,0,0,0,0
8929,52.0,1,0,0,1,0,0,0,0
4541,79.33333333333333,0,0,0,0,0,1,0,0
6435,77.0,1,0,1,0,0,0,0,0
6163,75.66666666666667,0,0,0,0,0,1,0,0
5176,49.0,0,0,0,1,0,0,0,0
2026,70.0,0,0,0,0,0,1,0,0
6618,52.333333333333336,0,0,0,1,0,0,0,0
1392,64.0,0,0,0,1,0,0,0,0
5534,71.66666666666667,1,0,0,0,0,0,1,0
5894,67.66666666666667,1,0,1,0,0,0,0,0
10654,52.66666666666666,0,0,0,1,0,0,0,0
6104,68.66666666666667,0,0,0,0,1,0,0,0
1192,60.66666666666666,0,0,0,1,0,0,0,0
4426,53.66666666666666,1,0,0,0,1,0,0,0
5553,52.66666666666666,1,0,0,1,0,0,0,0
9340,54.333333333333336,1,0,0,1,0,0,0,0
11206,68.66666666666667,0,0,0,0,0,0,1,0
2601,57.66666666666666,0,0,0,0,1,0,0,0
3385,50.66666666666666,0,0,0,1,0,0,0,0
9588,45.333333333333336,0,0,0,0,1,0,0,0
6643,60.333333333333336,0,0,1,0,0,0,0,0
3601,56.66666666666666,1,0,0,0,1,0,0,0
8970,43.333333333333336,0,0,0,0,1,0,0,0
5253,66.66666666666667,1,0,0,0,0,1,0,0
11181,73.0,0,0,0,0,0,0,1,0
4123,65.0,1,0,0,0,1,0,0,0
