,GENDER,STRATUM,SCHOOL_NAT,SCHOOL_TYPE,MAT_S11,CR_S11,CC_S11,BIO_S11,ENG_S11,QR_PRO,CR_PRO,CC_PRO,ENG_PRO,WC_PRO,COL_GRADE_AVG,HI_GRADE_AVG,GENDER_bin
0,F,Stratum_4,PRIVATE,ACADEMIC,71,81,61,86,82,71,93,71,93,79,81.4,76.2,1
1,F,Stratum_5,PRIVATE,ACADEMIC,83,75,66,100,88,97,38,86,98,78,79.4,82.4,1
2,M,Stratum_2,PRIVATE,ACADEMIC,52,49,38,46,42,17,1,18,43,22,20.2,45.4,0
3,F,Stratum_2,PRIVATE,ACADEMIC,56,55,51,64,73,65,35,76,80,48,60.8,59.8,1
4,M,Stratum_4,PRIVATE,ACADEMIC,80,65,76,85,92,94,94,98,100,71,91.4,79.6,0
5,F,Stratum_6,PRIVATE,ACADEMIC,71,60,57,61,82,86,15,32,97,36,53.2,66.2,1
6,M,Stratum_5,PRIVATE,ACADEMIC,71,75,61,75,85,68,8,50,92,53,54.2,73.4,0
7,F,Stratum_6,PRIVATE,ACADEMIC,74,67,61,85,96,97,86,94,97,98,94.4,76.6,1
8,M,Stratum_2,PRIVATE,TECHNICAL,44,54,61,44,46,51,57,43,3,19,34.6,49.8,0
9,M,Stratum_2,PRIVATE,ACADEMIC,52,55,51,55,65,13,41,22,83,1,32.0,55.6,0
10,F,Stratum_3,PRIVATE,ACADEMIC,74,71,61,78,96,96,83,93,100,98,94.0,76.0,1
11,M,Stratum_2,PRIVATE,ACADEMIC,54,47,49,45,43,64,19,79,10,5,35.4,47.6,0
12,F,Stratum_3,PRIVATE,ACADEMIC,56,62,61,61,50,41,45,74,56,37,50.6,58.0,1
13,M,Stratum_6,PRIVATE,ACADEMIC,76,71,64,75,82,99,82,80,97,83,88.2,73.6,0
14,F,Stratum_1,PRIVATE,ACADEMIC,56,45,59,51,44,46,61,81,36,76,60.0,51.0,1
15,F,Stratum_3,PRIVATE,ACADEMIC,62,58,59,55,59,89,64,77,74,30,66.8,58.6,1
16,M,Stratum_3,PRIVATE,ACADEMIC,74,67,72,78,68,83,69,72,89,8,64.2,71.8,0
17,M,Stratum_3,PRIVATE,ACADEMIC,74,64,61,72,88,85,76,100,94,75,86.0,71.8,0
18,M,Stratum_2,PRIVATE,ACADEMIC,44,49,45,44,44,52,8,12,19,65,31.2,45.2,0
19,M,Stratum_3,PRIVATE,ACADEMIC,61,44,53,41,53,95,86,52,74,59,73.2,50.4,0
20,M,Stratum_3,PRIVATE,TECHNICAL/ACADEMIC,58,53,51,48,58,99,64,54,89,38,68.8,53.6,0
21,M,Stratum_2,PRIVATE,TECHNICAL/ACADEMIC,60,47,56,56,57,40,39,49,60,44,46.4,55.2,0
22,M,Stratum_4,PRIVATE,ACADEMIC,53,47,36,36,64,59,25,37,65,14,40.0,47.2,0
23,M,Stratum_2,PRIVATE,TECHNICAL/ACADEMIC,67,65,50,72,82,94,81,22,88,44,65.8,67.2,0
24,M,Stratum_3,PRIVATE,TECHNICAL/ACADEMIC,80,71,68,66,75,96,99,93,92,74,90.8,72.0,0
25,M,Stratum_3,PRIVATE,TECHNICAL/ACADEMIC,83,75,65,100,71,100,92,91,97,91,94.2,78.8,0
26,M,Stratum_3,PRIVATE,ACADEMIC,69,56,49,63,70,74,28,15,84,89,58.0,61.4,0
27,M,Stratum_6,PRIVATE,ACADEMIC,85,71,63,72,92,96,59,74,97,73,79.8,76.6,0
28,F,Stratum_4,PRIVATE,TECHNICAL/ACADEMIC,48,56,43,51,54,15,47,36,61,35,38.8,50.4,1
29,F,Stratum_3,PRIVATE,TECHNICAL/ACADEMIC,48,44,47,61,48,46,61,76,75,66,64.8,49.6,1
30,M,Stratum_4,PRIVATE,ACADEMIC,54,52,56,52,53,98,62,40,28,62,58.0,53.4,0
31,M,Stratum_3,PRIVATE,ACADEMIC,54,62,56,55,43,98,100,78,74,93,88.6,54.0,0
32,M,Stratum_4,PRIVATE,ACADEMIC,80,62,76,78,92,100,92,99,100,7,79.6,77.6,0
33,M,Stratum_4,PRIVATE,ACADEMIC,80,53,57,70,62,77,82,80,81,43,72.6,64.4,0
34,M,Stratum_4,PRIVATE,ACADEMIC,58,60,45,58,75,98,15,5,89,76,56.6,59.2,0
35,M,Stratum_5,PRIVATE,ACADEMIC,74,71,66,70,76,97,88,79,98,71,86.6,71.4,0
36,M,Stratum_5,PRIVATE,ACADEMIC,61,60,61,60,54,79,84,78,82,79,80.4,59.2,0
37,M,Stratum_3,PRIVATE,ACADEMIC,76,71,74,91,78,98,98,79,95,23,78.6,78.0,0
38,F,Stratum_5,PRIVATE,ACADEMIC,62,56,59,61,54,26,9,53,62,88,47.6,58.4,1
39,M,Stratum_5,PRIVATE,ACADEMIC,72,62,61,78,82,95,61,89,97,46,77.6,71.0,0
40,F,Stratum_4,PRIVATE,ACADEMIC,60,60,61,71,62,70,79,89,88,58,76.8,62.8,1
41,F,Stratum_4,PRIVATE,TECHNICAL,50,58,52,52,75,60,77,45,74,89,69.0,57.4,1
42,F,Stratum_3,PRIVATE,TECHNICAL,44,54,56,55,40,31,67,50,65,12,45.0,49.8,1
43,M,Stratum_2,PRIVATE,ACADEMIC,69,67,56,68,64,96,93,87,92,31,79.8,64.8,0
44,M,Stratum_2,PRIVATE,ACADEMIC,83,62,66,72,82,92,96,95,95,78,91.2,73.0,0
45,M,Stratum_4,PRIVATE,ACADEMIC,80,62,71,81,88,97,93,100,97,46,86.6,76.4,0
46,M,Stratum_4,PRIVATE,ACADEMIC,83,75,68,81,85,95,19,5,96,63,55.6,78.4,0
47,F,Stratum_5,PRIVATE,ACADEMIC,63,60,59,75,80,93,71,90,88,11,70.6,67.4,1
48,M,Stratum_4,PRIVATE,TECHNICAL,47,36,41,44,40,71,7,56,22,43,39.8,41.6,0
49,M,Stratum_3,PRIVATE,TECHNICAL,65,62,59,66,54,81,55,78,59,77,70.0,61.2,0
50,F,Stratum_6,PRIVATE,ACADEMIC,56,51,39,60,55,57,5,15,73,78,45.6,52.2,1
51,M,Stratum_5,PRIVATE,ACADEMIC,69,60,76,71,92,90,90,86,100,67,86.6,73.6,0
52,M,Stratum_5,PRIVATE,ACADEMIC,67,81,56,73,78,79,95,9,72,88,68.6,71.0,0
53,F,Stratum_3,PRIVATE,TECHNICAL,65,51,45,63,55,75,71,92,69,99,81.2,55.8,1
54,M,Stratum_3,PRIVATE,TECHNICAL,54,49,42,55,40,77,29,65,51,71,58.6,48.0,0
55,M,Stratum_3,PRIVATE,TECHNICAL,69,63,58,61,50,99,77,27,68,8,55.8,60.2,0
56,F,Stratum_2,PRIVATE,TECHNICAL,63,62,57,56,64,90,78,82,47,82,75.8,60.4,1
57,M,Stratum_6,PRIVATE,ACADEMIC,64,65,61,64,78,98,87,87,95,96,92.6,66.4,0
58,F,Stratum_5,PRIVATE,TECHNICAL,60,60,59,67,70,83,85,63,65,62,71.6,63.2,1
59,M,Stratum_2,PRIVATE,ACADEMIC,80,75,61,81,96,97,97,96,100,82,94.4,78.6,0
60,M,Stratum_3,PRIVATE,TECHNICAL,69,67,78,100,62,97,96,100,49,59,80.2,75.2,0
61,M,Stratum_3,PRIVATE,ACADEMIC,60,60,61,61,59,84,79,73,91,87,82.8,60.2,0
62,M,Stratum_5,PRIVATE,ACADEMIC,65,47,29,56,54,83,48,41,66,34,54.4,50.2,0
63,M,Stratum_5,PRIVATE,ACADEMIC,74,81,61,75,82,88,85,84,98,63,83.6,74.6,0
64,M,Stratum_3,PRIVATE,ACADEMIC,60,60,65,70,75,92,89,87,90,14,74.4,66.0,0
65,M,Stratum_5,PRIVATE,ACADEMIC,74,62,56,64,73,99,29,26,90,7,50.2,65.8,0
66,M,Stratum_2,PRIVATE,TECHNICAL/ACADEMIC,69,62,68,73,46,82,97,64,77,64,76.8,63.6,0
