,COL_GRADE_AVG
2988,21.0
5916,64.0
3435,24.0
6269,98.33333333333331
3964,10.0
2494,55.66666666666666
47,83.0
7013,56.333333333333336
2152,69.33333333333333
8017,42.0
2530,56.0
10679,61.333333333333336
5617,63.333333333333336
1950,59.66666666666666
597,70.66666666666667
4233,77.33333333333333
11827,49.0
8310,96.66666666666669
2527,75.33333333333333
1217,94.33333333333331
2483,40.333333333333336
1689,64.66666666666667
2169,87.33333333333333
8583,82.0
1242,93.66666666666669
9890,47.66666666666666
7112,72.66666666666667
6521,88.66666666666667
10765,41.0
860,31.666666666666668
12034,77.66666666666667
4057,12.333333333333334
11298,84.33333333333333
9207,56.333333333333336
12163,49.333333333333336
10311,97.33333333333331
6400,42.333333333333336
2815,29.0
1886,75.33333333333333
4792,55.0
10225,50.66666666666666
7970,73.33333333333333
9140,17.666666666666668
12165,94.66666666666669
84,25.0
12207,92.66666666666669
7576,91.0
9404,78.33333333333333
249,74.0
10544,81.0
1205,56.66666666666666
664,75.0
5800,61.0
2415,91.33333333333331
12283,68.33333333333333
368,32.0
2886,73.66666666666667
11333,96.0
3914,32.333333333333336
7533,25.33333333333333
58,71.0
10213,68.0
5437,51.0
3845,89.33333333333333
10350,82.66666666666667
5392,36.333333333333336
4356,93.33333333333331
10414,35.666666666666664
2328,64.0
7086,59.0
3084,60.0
6455,89.33333333333333
5742,89.66666666666667
5452,37.0
5657,95.33333333333331
9149,69.66666666666667
1119,90.66666666666669
2035,17.333333333333332
7874,35.0
7199,65.33333333333333
4310,60.0
7078,78.33333333333333
2961,39.66666666666666
8077,80.0
9181,52.333333333333336
4246,44.333333333333336
8918,48.0
5931,53.0
6916,72.66666666666667
9919,51.0
230,48.0
9930,74.0
2621,79.0
10484,26.0
3572,46.0
10215,65.33333333333333
7255,82.66666666666667
12374,87.0
924,61.333333333333336
6148,94.33333333333331
7594,46.66666666666666
4998,72.0
2289,90.33333333333331
817,48.333333333333336
7180,33.0
2033,70.66666666666667
10301,47.333333333333336
9530,70.33333333333333
12363,75.0
7626,74.0
9928,94.66666666666669
8795,55.333333333333336
7543,41.66666666666666
9865,56.0
3948,43.0
5274,35.0
5990,87.0
11262,96.33333333333331
2507,84.33333333333333
5592,82.66666666666667
9414,39.0
2930,70.0
2445,44.66666666666666
5241,71.33333333333333
7535,58.66666666666666
6091,58.0
6463,62.333333333333336
1774,98.33333333333331
5032,37.0
7732,61.333333333333336
1522,79.66666666666667
9630,36.333333333333336
11783,85.0
9493,22.33333333333333
5009,23.666666666666668
4161,71.0
6197,65.66666666666667
7786,89.66666666666667
6118,33.666666666666664
27,76.66666666666667
10815,86.66666666666667
8904,89.66666666666667
2333,85.33333333333333
11690,86.0
1446,62.333333333333336
8634,66.0
5922,53.66666666666666
1665,79.0
402,76.0
7986,94.33333333333331
6102,59.333333333333336
2882,66.66666666666667
4462,47.0
11743,82.0
9986,53.333333333333336
1169,90.33333333333331
9619,80.66666666666667
11106,33.333333333333336
2254,61.0
12184,82.0
7172,77.66666666666667
11092,91.66666666666669
3777,26.666666666666668
6215,94.66666666666669
5803,55.66666666666666
9203,86.66666666666667
8990,92.0
10974,50.333333333333336
12050,88.33333333333333
7159,74.33333333333333
3726,42.66666666666666
10449,14.0
2501,88.0
7977,41.0
8929,69.0
4541,91.66666666666669
6435,92.0
6163,98.33333333333331
5176,42.66666666666666
2026,64.0
6618,75.33333333333333
1392,42.333333333333336
5534,84.66666666666667
5894,89.0
10654,53.0
6104,82.66666666666667
1192,81.0
4426,63.333333333333336
5553,47.66666666666666
9340,34.333333333333336
11206,88.66666666666667
2601,70.66666666666667
3385,26.0
9588,31.666666666666668
6643,90.33333333333331
3601,74.0
8970,45.333333333333336
5253,78.33333333333333
11181,96.66666666666669
4123,68.0
11890,64.0
192,53.333333333333336
1968,60.0
11249,78.0
6320,22.33333333333333
8579,65.0
5350,81.66666666666667
171,53.0
6138,91.33333333333331
594,78.0
6178,61.333333333333336
9849,82.33333333333333
6934,55.66666666666666
199,77.33333333333333
1732,39.333333333333336
683,70.0
10590,80.0
8626,79.0
7506,35.666666666666664
8515,91.66666666666669
6134,57.333333333333336
4373,97.66666666666669
2430,86.0
6536,65.0
4281,71.33333333333333
11748,73.66666666666667
1893,17.333333333333332
7918,83.0
9802,26.33333333333333
10097,89.33333333333333
3741,12.0
3892,80.33333333333333
2032,61.66666666666666
11696,70.33333333333333
6626,38.333333333333336
5216,62.0
874,39.333333333333336
829,28.33333333333333
1590,41.333333333333336
3970,41.0
8574,84.66666666666667
8681,82.0
3669,87.0
7074,95.66666666666669
620,73.66666666666667
4930,91.0
9644,50.333333333333336
1711,64.0
12017,83.0
10641,58.333333333333336
12382,98.0
4001,11.0
417,19.33333333333333
3548,50.0
8200,49.333333333333336
11439,37.66666666666666
8128,63.0
6501,92.33333333333331
8154,66.66666666666667
4060,60.0
7405,48.66666666666666
3740,4.666666666666667
4156,98.0
6021,95.33333333333331
7667,64.33333333333333
10637,74.0
6006,90.33333333333331
475,72.33333333333333
8237,47.0
3701,17.0
8136,89.33333333333333
7838,44.333333333333336
185,85.33333333333333
6487,50.0
2279,88.66666666666667
9268,30.0
6424,78.66666666666667
11645,91.0
7066,64.66666666666667
12408,86.33333333333333
606,43.0
8893,97.33333333333331
5076,96.0
5937,78.33333333333333
8105,38.333333333333336
1117,60.0
9878,76.66666666666667
8241,69.0
6129,58.66666666666666
925,64.66666666666667
12178,40.66666666666666
6744,63.0
7394,50.333333333333336
6854,69.66666666666667
4458,65.0
4131,51.333333333333336
